                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.4825,                0.45319,                0.85684,                0.88247,                0.79732,                0.83121,                0.73157,                0.49242,                0.47675,                0.86475,               0.009109,               0.009109,               0.009109
                     47,                0.48433,                0.44994,                0.85842,                0.87726,                0.80263,                0.83472,                 0.7372,                0.50373,                0.46291,                0.86566,              0.0090892,              0.0090892,              0.0090892
                     48,                0.48364,                0.45026,                 0.8577,                0.88944,                0.79413,                 0.8405,                0.73907,                0.50171,                 0.4787,                0.86365,              0.0090694,              0.0090694,              0.0090694
                     49,                0.47866,                0.44646,                  0.858,                 0.8753,                0.79356,                0.83129,                0.73593,                0.48465,                0.48963,                 0.8661,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.4797,                0.44437,                0.85758,                0.87228,                0.80875,                0.83982,                0.74734,                0.47697,                0.46102,                0.86229,              0.0090298,              0.0090298,              0.0090298
                     51,                0.47537,                0.44812,                0.85772,                0.87778,                0.79935,                0.83493,                0.73447,                0.51163,                0.46786,                0.86576,                0.00901,                0.00901,                0.00901
                     52,                0.47904,                0.43581,                0.85457,                0.86658,                0.78871,                0.82664,                0.73519,                0.49071,                0.46891,                0.86198,              0.0089902,              0.0089902,              0.0089902
                     53,                0.47504,                0.43265,                0.85654,                0.87136,                0.77863,                0.81911,                0.73217,                 0.4679,                0.47339,                0.86153,              0.0089704,              0.0089704,              0.0089704
                     54,                0.47783,                0.42969,                0.85696,                0.88369,                0.80253,                0.83895,                0.74926,                0.47376,                0.45512,                0.86373,              0.0089506,              0.0089506,              0.0089506
                     55,                0.47186,                0.42662,                0.85601,                0.87543,                0.79639,                0.83396,                0.73682,                0.49679,                0.45505,                0.86109,              0.0089308,              0.0089308,              0.0089308
                     56,                0.47378,                0.42569,                0.85724,                0.88156,                0.78144,                0.83963,                0.74452,                0.48837,                0.47637,                0.86347,               0.008911,               0.008911,               0.008911
                     57,                0.47109,                0.42625,                0.85365,                0.87158,                0.79475,                0.82685,                0.73837,                0.47858,                0.47169,                0.86134,              0.0088912,              0.0088912,              0.0088912
                     58,                0.46992,                0.41743,                0.85349,                0.88219,                0.79141,                0.84592,                  0.752,                0.46834,                 0.4637,                 0.8593,              0.0088714,              0.0088714,              0.0088714
                     59,                 0.4714,                0.41531,                0.85353,                0.88898,                0.80656,                0.86456,                0.76547,                0.47876,                0.44978,                0.85949,              0.0088516,              0.0088516,              0.0088516
                     60,                 0.4714,                0.41768,                0.85349,                0.88414,                0.78709,                0.82863,                0.73481,                0.48996,                0.46885,                0.86543,              0.0088318,              0.0088318,              0.0088318
                     61,                0.46887,                 0.4191,                0.85687,                0.89457,                0.78722,                0.85947,                0.75912,                0.48357,                0.45368,                0.86338,               0.008812,               0.008812,               0.008812
                     62,                0.46656,                0.41083,                0.85421,                0.87331,                0.78863,                0.83207,                0.73717,                 0.4833,                0.50879,                0.86252,              0.0087922,              0.0087922,              0.0087922
                     63,                0.46391,                0.41178,                0.85524,                0.87883,                0.79809,                 0.8325,                0.73697,                 0.4932,                 0.4629,                0.86403,              0.0087724,              0.0087724,              0.0087724
                     64,                0.46369,                0.40582,                0.85271,                 0.8883,                0.79561,                0.83118,                0.73849,                0.48086,                0.45453,                0.85996,              0.0087526,              0.0087526,              0.0087526
                     65,                0.46376,                0.40233,                0.85144,                0.87575,                0.80841,                0.83777,                0.74926,                0.47465,                0.46021,                0.85965,              0.0087328,              0.0087328,              0.0087328
                     66,                0.46444,                0.41232,                 0.8525,                0.89078,                0.80151,                0.83924,                0.74824,                0.47266,                0.45508,                0.86238,               0.008713,               0.008713,               0.008713
                     67,                0.46529,                0.40108,                0.85188,                0.88609,                0.79641,                0.84436,                0.75215,                 0.4763,                0.46247,                0.86248,              0.0086932,              0.0086932,              0.0086932
                     68,                0.46246,                0.39516,                  0.852,                0.87963,                0.79025,                0.83874,                0.74411,                0.48204,                0.44906,                0.85919,              0.0086734,              0.0086734,              0.0086734
                     69,                 0.4635,                0.40069,                0.85316,                0.87909,                0.78932,                 0.8309,                0.73882,                0.47544,                 0.4775,                0.86476,              0.0086536,              0.0086536,              0.0086536
                     70,                0.46055,                0.39888,                0.85388,                 0.8663,                 0.8284,                0.86482,                 0.7715,                0.46305,                 0.4367,                0.85885,              0.0086338,              0.0086338,              0.0086338
                     71,                0.45954,                0.39003,                0.84996,                0.87561,                0.80305,                 0.8323,                0.74193,                0.48228,                0.45249,                0.85916,               0.008614,               0.008614,               0.008614
                     72,                0.46133,                 0.3909,                0.85154,                 0.8772,                0.80251,                0.83681,                0.74816,                0.47028,                0.47199,                 0.8612,              0.0085942,              0.0085942,              0.0085942
                     73,                0.45656,                0.39334,                0.85296,                0.87865,                 0.7969,                0.84601,                0.74441,                0.49089,                0.46714,                 0.8701,              0.0085744,              0.0085744,              0.0085744
                     74,                0.45621,                0.38601,                0.85192,                0.88365,                0.81485,                0.84009,                0.75052,                0.47075,                0.44208,                  0.857,              0.0085546,              0.0085546,              0.0085546
                     75,                0.45838,                 0.3846,                0.85034,                0.88884,                0.79418,                0.84921,                0.75881,                0.46731,                0.43903,                0.86003,              0.0085348,              0.0085348,              0.0085348
                     76,                0.45897,                 0.3861,                0.85022,                0.88552,                0.80919,                0.86719,                0.77139,                0.47343,                0.43401,                0.86122,               0.008515,               0.008515,               0.008515
                     77,                0.45498,                0.38235,                0.85097,                0.88264,                0.80516,                0.84394,                0.74625,                0.48225,                0.43913,                0.86518,              0.0084952,              0.0084952,              0.0084952
                     78,                0.45368,                0.38103,                0.85124,                 0.8795,                0.80871,                0.86419,                0.75936,                0.48275,                0.44004,                0.86244,              0.0084754,              0.0084754,              0.0084754
                     79,                0.45294,                0.38231,                0.85086,                0.87848,                0.80258,                0.85558,                0.76307,                0.47404,                0.45587,                0.86255,              0.0084556,              0.0084556,              0.0084556
                     80,                0.45146,                0.38339,                0.85116,                0.89182,                0.79479,                0.85953,                0.76869,                0.46474,                0.43564,                0.85592,              0.0084358,              0.0084358,              0.0084358
                     81,                0.45677,                 0.3804,                0.85095,                0.87926,                0.79992,                0.85621,                0.75457,                0.47344,                0.44623,                0.86392,               0.008416,               0.008416,               0.008416
                     82,                0.45387,                0.37477,                0.85009,                0.88168,                0.79811,                0.83525,                0.74973,                0.46165,                0.43317,                0.85902,              0.0083962,              0.0083962,              0.0083962
                     83,                0.45278,                0.37729,                0.85019,                0.88465,                 0.8014,                0.85548,                  0.761,                0.46493,                0.42974,                0.85931,              0.0083764,              0.0083764,              0.0083764
                     84,                0.45282,                0.36879,                0.84667,                0.89077,                0.79045,                0.85329,                0.75471,                0.47348,                0.45844,                0.86263,              0.0083566,              0.0083566,              0.0083566
                     85,                0.45044,                0.36716,                0.84889,                0.88718,                0.80173,                0.85664,                0.76021,                 0.4736,                0.44159,                0.86458,              0.0083368,              0.0083368,              0.0083368
                     86,                0.44909,                0.37172,                0.84758,                 0.8951,                 0.7978,                0.85898,                 0.7619,                 0.4777,                0.43891,                 0.8611,               0.008317,               0.008317,               0.008317
                     87,                0.45065,                0.36806,                0.84749,                 0.8892,                0.80553,                 0.8343,                0.74879,                0.46406,                0.43424,                0.85472,              0.0082972,              0.0082972,              0.0082972
                     88,                0.45101,                 0.3669,                0.84825,                0.88606,                0.78969,                0.86096,                 0.7683,                0.46564,                0.44322,                0.86026,              0.0082774,              0.0082774,              0.0082774
                     89,                0.44826,                0.36397,                0.84819,                0.89149,                0.79515,                0.85388,                0.75084,                0.48671,                0.43864,                0.86939,              0.0082576,              0.0082576,              0.0082576
                     90,                0.44789,                0.36356,                0.84738,                0.88709,                0.79493,                0.85991,                0.75963,                0.47611,                0.44686,                0.85943,              0.0082378,              0.0082378,              0.0082378
                     91,                0.44527,                 0.3618,                0.84553,                0.88786,                0.79739,                 0.8371,                0.74996,                0.46311,                0.43689,                0.85665,               0.008218,               0.008218,               0.008218
                     92,                0.44972,                0.35858,                0.84641,                0.88406,                 0.8014,                0.85959,                0.76263,                0.46288,                0.43941,                 0.8578,              0.0081982,              0.0081982,              0.0081982
                     93,                 0.4465,                0.35524,                0.84667,                  0.888,                0.79779,                0.84108,                0.75133,                0.47156,                0.43958,                0.85951,              0.0081784,              0.0081784,              0.0081784
                     94,                0.44412,                0.36063,                0.84839,                0.86392,                0.80188,                0.85821,                0.75485,                0.48921,                0.42995,                0.86538,              0.0081586,              0.0081586,              0.0081586
                     95,                0.44568,                0.35351,                0.84648,                 0.8617,                0.79926,                0.84574,                0.75716,                0.45964,                0.43569,                0.85878,              0.0081388,              0.0081388,              0.0081388
                     96,                0.44491,                0.35405,                0.84566,                0.87144,                0.80348,                0.82735,                0.74432,                0.46052,                0.44767,                0.85718,               0.008119,               0.008119,               0.008119
                     97,                0.44319,                0.35626,                0.84762,                0.88712,                 0.8006,                0.84644,                0.74872,                0.48219,                0.45744,                0.86427,              0.0080992,              0.0080992,              0.0080992
                     98,                0.44301,                0.35117,                0.84563,                0.87309,                0.79944,                0.82599,                0.74021,                0.46894,                0.45505,                 0.8628,              0.0080794,              0.0080794,              0.0080794
                     99,                0.44001,                0.34324,                0.84384,                0.89052,                0.79996,                0.83408,                0.74736,                0.46445,                0.43583,                0.85818,              0.0080596,              0.0080596,              0.0080596
                    100,                 0.4384,                0.35367,                0.84712,                0.88278,                0.78163,                0.83865,                0.75228,                 0.4641,                0.44127,                0.85618,              0.0080398,              0.0080398,              0.0080398
                    101,                0.44036,                0.34399,                0.84527,                0.88599,                0.79578,                0.82582,                0.73784,                0.47727,                0.44694,                0.86381,                0.00802,                0.00802,                0.00802
                    102,                0.44374,                0.34485,                0.84583,                0.85796,                0.80801,                0.83407,                0.74844,                0.46249,                0.42118,                0.86049,              0.0080002,              0.0080002,              0.0080002
                    103,                0.44026,                0.34547,                0.84608,                0.89068,                0.79877,                0.83449,                0.74759,                0.46329,                0.43425,                0.86286,              0.0079804,              0.0079804,              0.0079804
                    104,                0.44091,                0.34881,                0.84762,                0.88872,                0.80424,                0.86022,                0.76802,                0.45878,                 0.4272,                0.86431,              0.0079606,              0.0079606,              0.0079606
                    105,                0.43935,                0.33967,                0.84421,                0.88819,                0.80463,                0.85106,                0.75416,                0.47652,                0.42763,                0.85963,              0.0079408,              0.0079408,              0.0079408
                    106,                0.43778,                0.34743,                0.84439,                0.88007,                0.79573,                0.82746,                0.74008,                0.47065,                0.45279,                0.85969,               0.007921,               0.007921,               0.007921
                    107,                0.44059,                0.33757,                0.84511,                0.88236,                0.80799,                0.85314,                0.76137,                0.45805,                0.43344,                0.85635,              0.0079012,              0.0079012,              0.0079012
                    108,                0.43656,                0.33557,                0.84354,                0.88509,                0.81573,                0.86327,                0.77031,                0.46042,                0.43397,                0.85869,              0.0078814,              0.0078814,              0.0078814
                    109,                0.43748,                0.33904,                0.84221,                0.88169,                0.79576,                0.83283,                0.74581,                0.46478,                0.45809,                0.86087,              0.0078616,              0.0078616,              0.0078616
                    110,                0.43647,                0.33747,                0.84317,                0.88818,                0.80029,                0.83433,                0.74803,                0.46403,                0.43674,                0.85755,              0.0078418,              0.0078418,              0.0078418
                    111,                0.43743,                0.34189,                0.84592,                0.89082,                0.80133,                0.83425,                0.74683,                 0.4686,                0.43751,                0.86054,               0.007822,               0.007822,               0.007822
                    112,                0.43499,                0.33867,                0.84477,                 0.8801,                0.80601,                 0.8617,                0.76791,                0.46931,                0.43797,                0.86001,              0.0078022,              0.0078022,              0.0078022
                    113,                0.43902,                0.34239,                0.84535,                0.87952,                  0.804,                0.84205,                0.75198,                0.47087,                0.43936,                0.86435,              0.0077824,              0.0077824,              0.0077824
                    114,                 0.4339,                0.33692,                0.84465,                0.89804,                0.79439,                0.83649,                 0.7498,                0.46059,                0.42443,                0.86229,              0.0077626,              0.0077626,              0.0077626
                    115,                0.43464,                0.33522,                0.84505,                0.88901,                0.79148,                0.82896,                0.73943,                0.46683,                 0.4302,                0.85959,              0.0077428,              0.0077428,              0.0077428
                    116,                 0.4343,                0.33817,                0.84502,                0.88832,                0.80291,                 0.8349,                0.75061,                0.46416,                0.42927,                0.85644,               0.007723,               0.007723,               0.007723
                    117,                0.43671,                 0.3351,                0.84411,                0.88594,                0.80759,                0.83962,                0.75136,                0.46774,                0.43239,                0.86104,              0.0077032,              0.0077032,              0.0077032
                    118,                0.43356,                0.33018,                0.84453,                0.88329,                0.80194,                0.85695,                0.76752,                0.46337,                0.41718,                0.85782,              0.0076834,              0.0076834,              0.0076834
                    119,                  0.433,                0.33513,                0.84475,                0.89012,                 0.7977,                0.83681,                0.75095,                0.46244,                0.42718,                0.85919,              0.0076636,              0.0076636,              0.0076636
                    120,                0.43455,                0.33174,                0.84382,                0.88667,                0.80681,                0.83582,                0.74964,                0.46394,                0.43321,                0.85926,              0.0076438,              0.0076438,              0.0076438
                    121,                0.43297,                0.32607,                0.84367,                0.88785,                0.79797,                0.83895,                 0.7548,                0.45746,                 0.4361,                0.85561,               0.007624,               0.007624,               0.007624
                    122,                 0.4309,                0.33453,                0.84517,                0.89539,                0.79459,                0.83042,                0.74289,                0.46441,                0.43154,                0.85496,              0.0076042,              0.0076042,              0.0076042
                    123,                0.43409,                0.32829,                0.84254,                 0.8924,                0.79826,                0.85056,                 0.7605,                0.46196,                0.41637,                0.85612,              0.0075844,              0.0075844,              0.0075844
                    124,                0.43405,                0.32664,                0.84153,                0.88791,                0.79662,                0.83552,                 0.7499,                0.46005,                 0.4263,                0.85588,              0.0075646,              0.0075646,              0.0075646
                    125,                0.43266,                0.32322,                0.84383,                0.88642,                0.80535,                0.84406,                0.75667,                0.46242,                0.43208,                0.85587,              0.0075448,              0.0075448,              0.0075448
                    126,                0.42771,                0.32677,                0.84306,                0.89305,                0.80573,                0.85922,                0.76624,                 0.4597,                0.43022,                0.86177,               0.007525,               0.007525,               0.007525
