                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.51459,                0.36624,                0.88118,                0.97805,                0.97697,                0.99039,                0.86207,                0.50454,                0.36225,                 0.8705,               0.005248,               0.005248,               0.005248
                     50,                0.52006,                0.36253,                0.88136,                0.97529,                0.98255,                0.99116,                0.85896,                0.50948,                0.33927,                0.87824,               0.005149,               0.005149,               0.005149
                     51,                 0.5132,                0.36804,                0.88054,                0.98803,                0.97058,                0.98886,                0.85162,                0.51756,                0.34694,                0.87981,                0.00505,                0.00505,                0.00505
                     52,                0.51233,                 0.3592,                0.88317,                 0.9895,                0.97669,                0.98865,                0.86302,                0.51118,                0.33947,                0.87858,               0.004951,               0.004951,               0.004951
                     53,                 0.5048,                0.35648,                0.87581,                0.97542,                0.98364,                0.98999,                0.85799,                0.52136,                0.34333,                0.88008,               0.004852,               0.004852,               0.004852
                     54,                0.50652,                 0.3596,                0.88071,                 0.9805,                0.97398,                 0.9881,                0.86396,                0.51018,                0.34362,                0.87171,               0.004753,               0.004753,               0.004753
                     55,                0.48584,                0.35593,                0.87416,                0.98138,                0.98085,                0.98967,                0.86183,                0.50012,                0.33388,                0.87234,               0.004654,               0.004654,               0.004654
                     56,                0.50876,                0.35617,                0.88201,                0.98513,                0.97485,                0.99166,                0.86912,                0.49744,                0.34194,                0.87393,               0.004555,               0.004555,               0.004555
                     57,                0.49409,                0.34412,                0.88087,                0.97697,                0.98811,                0.99284,                0.87557,                0.49312,                0.31273,                0.87256,               0.004456,               0.004456,               0.004456
                     58,                0.48892,                0.34503,                0.86914,                0.98689,                0.98504,                0.99314,                0.87036,                0.49351,                0.30871,                0.86892,               0.004357,               0.004357,               0.004357
                     59,                0.47221,                0.33468,                0.87066,                0.97915,                0.98909,                0.99388,                0.86876,                0.50341,                0.30872,                0.87041,               0.004258,               0.004258,               0.004258
