                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.3077,                 1.2138,                0.93517,                 1.0066,                0.92716,                0.86833,                0.91143,                0.59735,                0.89424,                 0.8726,                 0.8834,                0.49416,                0.97464,                 1.0985,                0.80549,                 1.0274,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.3004,                 1.2061,                0.92841,                0.99758,                0.86994,                0.88612,                0.89873,                0.57589,                0.85348,                0.87189,                0.85872,                 0.4639,                 1.0392,                 1.1997,                  0.818,                 1.0047,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.2859,                 1.1791,                0.90877,                0.99024,                0.88786,                0.87347,                0.90104,                0.59883,                 0.8754,                0.87507,                 0.8647,                0.48205,                0.92157,                 1.0938,                0.76772,                 1.0071,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.275,                 1.2413,                 0.8916,                 1.0034,                0.86267,                0.92883,                 0.9045,                0.57843,                0.84916,                0.90391,                 0.8659,                0.46613,                0.95318,                 1.1602,                0.81914,                 1.0446,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.2963,                 1.2338,                0.91903,                0.98517,                0.84605,                 0.8968,                0.86271,                0.51869,                0.81348,                0.88612,                0.83059,                0.38509,                 1.0053,                 1.2605,                0.86288,                 1.0205,              0.0095545,              0.0095545,              0.0095545
                     47,                  1.296,                 1.2139,                0.92766,                0.99176,                0.84555,                0.91568,                0.87564,                0.56022,                0.84089,                0.90278,                0.85486,                0.45849,                0.98279,                 1.1973,                0.80658,                 1.0266,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.2811,                 1.2003,                0.89093,                0.98744,                  0.873,                0.88612,                0.88929,                0.57012,                0.84976,                0.86121,                0.83633,                0.45814,                  1.067,                 1.1675,                0.88615,                 1.0743,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.2775,                 1.1795,                0.88821,                 0.9745,                0.87114,                 0.8968,                0.87704,                0.58787,                 0.8466,                0.87189,                0.83479,                0.41296,                0.92657,                 1.2626,                0.81357,                  1.014,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.2808,                 1.1938,                0.88975,                 0.9937,                0.86931,                0.90747,                0.88094,                0.56798,                0.86028,                0.90036,                0.86546,                 0.4466,                 1.1325,                 1.3547,                 0.7689,                 1.0559,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.2671,                 1.1561,                0.86299,                 0.9703,                0.88575,                0.87189,                   0.89,                0.54093,                 0.8749,                0.86121,                0.85815,                0.45344,                  1.056,                 1.2279,                0.81979,                 1.0307,               0.009505,               0.009505,               0.009505
                     52,                  1.307,                 1.1778,                0.88386,                0.96411,                0.88706,                0.89445,                0.88752,                0.56269,                0.85883,                0.86598,                0.83807,                0.45148,                 1.0789,                 1.1519,                0.82479,                 1.0238,              0.0094951,              0.0094951,              0.0094951
